INFO:root:episode:4250 e_greed:0.16572799999996574 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [1, 6], [0, 5], [2, 2], [1, 1]]
INFO:root:episode:4300 e_greed:0.16532799999996534 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [1, 1], [2, 2]]
INFO:root:episode:4350 e_greed:0.16492799999996494 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [1, 6], [0, 5], [1, 1], [2, 2]]
INFO:root:episode:4400 e_greed:0.16452799999996454 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [1, 6], [0, 5], [2, 2], [1, 1]]
INFO:root:episode:4450 e_greed:0.16412799999996414 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [1, 6], [0, 5], [2, 2], [1, 1]]
INFO:root:episode:4500 e_greed:0.16372799999996374 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [1, 1], [2, 2]]
INFO:root:episode:4550 e_greed:0.16332799999996334 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [1, 6], [1, 1], [0, 5], [2, 2]]
INFO:root:episode:4600 e_greed:0.16292799999996294 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [1, 6], [1, 1], [0, 5], [2, 2]]
INFO:root:episode:4650 e_greed:0.16252799999996254 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [1, 6], [0, 5], [1, 1], [2, 2]]
INFO:root:episode:4700 e_greed:0.16212799999996214 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [1, 1], [2, 2]]
INFO:root:episode:4750 e_greed:0.16172799999996174 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [2, 7], [1, 6], [2, 2], [0, 5], [1, 1]]
INFO:root:episode:4800 e_greed:0.16132799999996134 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [1, 6], [2, 7], [1, 1], [0, 5], [2, 2]]
INFO:root:episode:4850 e_greed:0.16092799999996094 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [1, 6], [2, 7], [1, 1], [0, 5], [2, 2]]
INFO:root:episode:4900 e_greed:0.16052799999996054 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [1, 1], [2, 2], [1, 0]]
INFO:root:episode:4950 e_greed:0.16012799999996014 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [1, 1], [2, 2]]
INFO:root:episode:5000 e_greed:0.15972799999995974 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [1, 0], [4, 4], [3, 3], [1, 6], [2, 7], [0, 5], [1, 1], [2, 2]]
INFO:root:episode:5050 e_greed:0.15932799999995934 Cost: 6.974975188817864 Reward:0.0 Action:[-1, -1, [4, 4], [3, 3], [2, 7], [1, 6], [0, 5], [2, 2], [1, 1], [1, 0]]
