INFO:root:episode:34  step:4 Cost:55.17751479289941 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[0, 1]
INFO:root:episode:34  step:5 Cost:53.77218934911243 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[4, 5]
INFO:root:episode:34  step:6 Cost:42.56656804733728 min Cost:36.72337278106509 Reward:-58.4319526627219 全局reward:0 Action:[0, 0]
INFO:root:episode:35  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:35  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:35  step:3 Cost:35.55226824457594 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[0, 4]
INFO:root:episode:35  step:4 Cost:43.145956607495066 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[3, 2]
INFO:root:episode:35  step:5 Cost:45.069033530571986 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[4, 5]
INFO:root:episode:35  step:6 Cost:33.86341222879684 min Cost:36.72337278106509 Reward:100 全局reward:100 Action:[1, 0]
INFO:root:episode:36  step:1 Cost:1.257396449704142 min Cost:26.479289940828405 Reward:0 全局reward:100 Action:[4, 5]
INFO:root:episode:36  step:2 Cost:27.071005917159763 min Cost:27.218934911242602 Reward:0 全局reward:100 Action:[1, 1]
INFO:root:episode:36  step:3 Cost:35.478303747534525 min Cost:35.08382642998027 Reward:0 全局reward:100 Action:[2, 4]
INFO:root:episode:36  step:4 Cost:42.6775147928994 min Cost:42.6775147928994 Reward:0 全局reward:100 Action:[1, 3]
INFO:root:episode:36  step:5 Cost:49.60552268244576 min Cost:44.60059171597632 Reward:0 全局reward:100 Action:[3, 2]
INFO:root:episode:36  step:6 Cost:50.899901380670606 min Cost:33.86341222879684 Reward:-170.36489151873766 全局reward:100 Action:[2, 0]
INFO:root:episode:37  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:100 Action:[1, 1]
